"county","tract","blockgroup","cbsa20","CountyName","CBSAName20","pop20","afact"
"County code","Tract","Block group","Core-based statistical area code","County name","2020 CBSA name","Total population (2020 Census)","blockgroup-to-cbsa20 allocation factor"
"01003","0107.09","2","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",2424,1 
"01003","0107.09","3","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",4819,1 
"01003","0107.10","1","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",1804,1 
"01003","0107.10","2","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",3457,1 
"01003","0107.10","3","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",895,1 
"01003","0107.11","1","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",2243,1 
"01003","0107.11","2","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",1987,1 
"01003","0108.00","1","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",1734,1 
"01003","0108.00","2","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",2826,1 
"01003","0108.00","3","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",3247,1 
"01003","0109.03","1","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",1928,1 
"01003","0109.03","2","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",2449,1 
"01003","0109.03","3","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",2222,1 
"01003","0109.04","1","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",2930,1 
"01003","0109.04","2","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",2234,1 
"01003","0109.04","3","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",2583,1 
"01003","0109.06","1","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",1883,1 
"01003","0109.06","2","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",1662,1 
"01003","0109.06","3","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",1209,1 
"01003","0109.07","1","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",2776,1 
"01003","0109.07","2","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",1305,1 
"01003","0109.08","1","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",2483,1 
"01003","0109.08","2","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",3496,1 
"01003","0110.00","1","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",2475,1 
"01003","0110.00","2","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",2984,1 
"01003","0111.02","1","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",2591,1 
"01003","0111.02","2","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",3093,1 
"01003","0111.03","1","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",3523,1 
"01003","0111.04","1","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",2390,1 
"01003","0111.04","2","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",2853,1 
"01003","0111.04","3","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",2632,1 
"01003","0112.01","1","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",2613,1 
"01003","0112.01","2","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",2282,1 
"01003","0112.02","1","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",2291,1 
"01003","0112.02","2","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",1606,1 
"01003","0112.02","3","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",2104,1 
"01003","0112.02","4","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",772,1 
"01003","0113.00","1","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",1053,1 
"01003","0113.00","2","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",1701,1 
"01003","0113.00","3","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",1145,1 
"01003","0113.00","4","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",1271,1 
"01003","0114.09","1","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",2253,1 
"01003","0114.09","2","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",1862,1 
"01003","0114.09","3","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",1800,1 
"01003","0114.10","1","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",2859,1 
"01003","0114.10","2","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",963,1 
"01003","0114.10","3","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",2007,1 
"01003","0114.10","4","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",1654,1 
"01003","0114.11","1","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",2482,1 
"01003","0114.11","2","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",3184,1 
"01003","0114.12","1","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",1834,1 
"01003","0114.12","2","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",2207,1 
"01003","0114.13","1","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",1067,1 
"01003","0114.13","2","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",1624,1 
"01003","0114.13","3","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",1291,1 
"01003","0114.14","1","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",1708,1 
"01003","0114.14","2","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",1753,1 
"01003","0114.15","1","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",2019,1 
"01003","0114.16","1","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",1714,1 
"01003","0114.17","1","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",894,1 
"01003","0114.17","2","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",1631,1 
"01003","0114.18","1","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",1174,1 
"01003","0114.18","2","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",599,1 
"01003","0114.19","1","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",2034,1 
"01003","0114.19","2","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",1393,1 
"01003","0114.19","3","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",975,1 
"01003","0114.19","4","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",752,1 
"01003","0115.01","1","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",3712,1 
"01003","0115.01","2","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",1243,1 
"01003","0115.01","3","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",2261,1 
"01003","0115.03","1","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",1335,1 
"01003","0115.03","2","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",2326,1 
"01003","0115.03","3","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",2488,1 
"01003","0115.03","4","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",1333,1 
"01003","0115.04","1","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",598,1 
"01003","0115.04","2","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",2279,1 
"01003","0115.04","3","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",3554,1 
"01003","0116.01","1","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",2104,1 
"01003","0116.01","2","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",2792,1 
"01003","0116.01","3","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",922,1 
"01003","0116.01","4","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",1699,1 
"01003","0116.03","1","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",1913,1 
"01003","0116.03","2","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",1385,1 
"01003","0116.04","1","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",898,1 
"01003","0116.04","2","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",1955,1 
"01005","9501.00","1","21640","Barbour AL","Eufaula, AL-GA",1589,1 
"01005","9501.00","2","21640","Barbour AL","Eufaula, AL-GA",1537,1 
"01005","9502.00","1","21640","Barbour AL","Eufaula, AL-GA",650,1 
"01005","9502.00","2","21640","Barbour AL","Eufaula, AL-GA",1760,1 
"01005","9502.00","3","21640","Barbour AL","Eufaula, AL-GA",953,1 
"01005","9503.00","1","21640","Barbour AL","Eufaula, AL-GA",719,1 
